Country_Name,Country_Code,2010_Preparedness,2010_Stat_Capacity,2011_Preparedness,2011_Stat_Capacity,2012_Preparedness,2012_Stat_Capacity,2013_Preparedness,2013_Stat_Capacity,2014_Preparedness,2014_Stat_Capacity,2015_Preparedness,2015_Stat_Capacity,2016_Preparedness,2016_Stat_Capacity,2017_Preparedness,2017_Stat_Capacity
Afghanistan,AFG,41,52.22222222,0,51.11111111,0,50,10,53.33333333,26,54.44444444,18,51.1111,28,51.1111,55,51.1111
Albania,ALB,,70,,70,,73.33333333,,68.88888889,,75.55555556,,72.22223333,,82.22223333,8,88.8889
Algeria,DZA,46,58.88888889,0,62.22222222,10,58.88888889,61,51.11111111,80,52.22222222,80,53.33336667,63,55.55556667,80,61.1111
Andorra,AND,12,,10,,40,,8,,8,,8,,8,,8,
Angola,AGO,,45.55555556,20,47.77777778,,50,25,47.77777778,0,48.88888889,,47.77776667,,42.22216667,90,45.5555
Antigua and Barbuda,ATG,85,42.22222222,52,46.66666667,60,51.11111111,50,55.55555556,73,58.88888889,73,57.7778,73,57.7778,55,54.44446667
Argentina,ARG,,86.66666667,52,85.55555556,100,85.55555556,100,76.66666667,100,83.33333333,100,95.55556667,82,88.8889,55,85.55556667
Australia,AUS,100,,100,,100,,100,,100,,100,,100,,100,
Austria,AUT,100,,100,,100,,83,,83,,91,,92,,67,
Azerbaijan,AZE,35,78.88888889,100,76.66666667,,74.44444444,75,74.44444444,75,70,,67.7778,,75.55556667,,82.22223333
"Bahamas, The",BHS,73,,75,,,,,,41,,0,,62,,62,
Bahrain,BHR,92,,75,,70,,61,,100,,100,,90,,80,
Bangladesh,BGD,39,68.88888889,55,68.88888889,50,65.55555556,73,65.55555556,63,80,63,76.6667,70,74.44443333,45,70.00003333
Barbados,BRB,33,,65,,40,,90,,70,,100,,70,,100,
Belarus,BLR,,85.55555556,100,85.55555556,,86.66666667,,86.66666667,75,87.77777778,,87.77776667,,87.77776667,,87.77776667
Belgium,BEL,78,,47,,50,,46,,46,,46,,47,,47,
Belize,BLZ,7,61.11111111,20,56.66666667,10,58.88888889,26,57.77777778,,55.55555556,52,54.44446667,,62.22223333,,62.22223333
Benin,BEN,78,55.55555556,35,58.88888889,30,57.77777778,,66.66666667,46,65.55555556,,66.66666667,18,73.33336667,27,73.33336667
Bhutan,BTN,7,75.55555556,40,77.77777778,,74.44444444,35,75.55555556,61,78.88888889,45,68.8889,92,68.8889,100,65.5556
Bolivia,BOL,,66.66666667,55,70,60,67.77777778,41,72.22222222,60,76.66666667,53,78.8889,73,68.8889,80,67.77776667
Bosnia and Herzegovina,BIH,33,62.22222222,30,67.77777778,,68.88888889,,68.88888889,25,72.22222222,45,67.7778,55,72.22226667,63,65.55556667
Botswana,BWA,0,60,,63.33333333,,63.33333333,0,54.44444444,,51.11111111,0,45.55553333,,42.22216667,27,49.99996667
Brazil,BRA,14,83.33333333,100,84.44444444,,78.88888889,90,75.55555556,100,75.55555556,100,72.22223333,100,76.66666667,100,74.44443333
Brunei Darussalam,BRN,39,,30,,70,,70,,90,,100,,,,62,
Bulgaria,BGR,,91.11111111,55,91.11111111,,91.11111111,,85.55555556,81,84.44444444,,84.44443333,,84.44443333,,87.77776667
Burkina Faso,BFA,,62.22222222,,65.55555556,30,71.11111111,45,70,51,71.11111111,,67.7778,,74.44446667,37,73.33336667
Burundi,BDI,,54.44444444,10,54.44444444,40,52.22222222,50,57.77777778,80,54.44444444,80,55.55556667,80,62.22223333,0,63.33336667
Cabo Verde,CPV,75,73.33333333,,70,,68.88888889,,65.55555556,,68.88888889,,66.66666667,80,68.88886667,100,67.77776667
Cambodia,KHM,0,73.33333333,22,73.33333333,20,67.77777778,20,70,0,76.66666667,20,76.66666667,20,66.66666667,35,63.33333333
Cameroon,CMR,41,66.66666667,55,64.44444444,60,60,100,56.66666667,100,56.66666667,,55.55556667,37,68.8889,55,70.00003333
Canada,CAN,78,,87,,100,,100,,100,,100,,100,,100,
Central African Republic,CAF,,55.55555556,0,56.66666667,,57.77777778,16,57.77777778,16,58.88888889,,52.22226667,0,41.11113333,45,38.88886667
Chad,TCD,,56.66666667,0,54.44444444,,64.44444444,8,63.33333333,,63.33333333,26,65.5556,27,54.4445,27,48.8889
China,CHN,92,65.55555667,100,68.88888889,100,70,100,70,100,70,100,70,100,80,100,78.8889
Colombia,COL,53,84.44444444,42,84.44444444,50,84.44444444,33,81.11111111,33,81.11111111,100,84.44443333,100,88.8889,100,88.8889
Comoros,COM,,50,,50,,41.11111111,25,43.33333333,,40,,42.22216667,,34.4444,47,29.99996667
"Congo, Rep.",COG,7,54.44444444,80,50,70,50,16,52.22222222,,47.77777778,,50.00003333,53,50.00003333,18,48.8889
Costa Rica,CRI,53,76.66666667,40,76.66666667,60,77.77777778,71,77.77777778,71,77.77777778,71,84.44443333,72,84.44443333,82,87.77776667
Cote d'Ivoire,CIV,,58.88888889,55,67.77777778,,63.33333333,50,56.66666667,,46.66666667,,58.8889,43,67.77776667,73,66.66666667
Croatia,HRV,100,84.44444444,77,86.66666667,,86.66666667,100,87.77777778,90,83.33333333,90,80.00003333,90,81.11113333,90,83.33333333
Cuba,CUB,,,87,,100,,100,,100,,100,,100,,100,
Cyprus,CYP,21,,12,,,,28,,28,,,,100,,100,
Czech Republic,CZE,100,,100,,90,,75,,75,,75,,,,92,
Denmark,DNK,100,,100,,,,100,,100,,100,,100,,100,
Djibouti,DJI,,44.44444444,,44.44444444,0,46.66666667,35,46.66666667,26,45.55555556,,46.66666667,,53.33336667,0,54.4445
Dominica,DMA,46,46.66666667,65,50,50,53.33333333,62,50,60,55.55555556,60,52.22223333,60,57.77776667,60,57.77776667
Dominican Republic,DOM,14,67.77777778,,67.77777778,70,67.77777778,81,75.55555556,81,78.88888889,81,78.8889,82,83.33333333,55,83.33333333
Ecuador,ECU,32,82.22222222,30,82.22222222,20,71.11111111,18,70,71,70,91,72.22226667,90,71.11113333,53,68.8889
"Egypt, Arab Rep.",EGY,80,85.55555556,87,88.88888889,80,86.66666667,90,90,90,90,,91.11113333,100,87.77776667,100,83.33333333
Equatorial Guinea,GNQ,,32.22222222,0,32.22222222,,32.22222222,8,31.11111111,,34.44444444,,42.22223333,,45.55556667,8,45.55556667
Eritrea,ERI,33,32.22222222,32,32.22222222,,32.22222222,45,31.11111111,91,31.11111111,91,27.7778,25,28.8889,25,28.88886667
Estonia,EST,60,,45,,50,,55,,65,,81,,82,77.7778,82,50
Eswatini,SWZ,26,67.77777778,30,64.44444444,60,65.55555556,0,60,61,60,53,58.8889,,55.55556667,70,58.8889
Ethiopia,ETH,32,80,100,73.33333333,100,65.55555556,,66.66666667,80,61.11111111,80,68.8889,90,70.00003333,90,70.00003333
Fiji,FJI,12,53.33333333,,70,40,70,100,71.11111111,100,71.11111111,,61.11113333,,58.88886667,,70
Finland,FIN,73,,65,,80,,63,,63,,90,,,,,
France,FRA,60,,87,,80,,80,,80,,80,,80,,80,
Gabon,GAB,,40,0,43.33333333,,36.66666667,,42.22222222,,42.22222222,,39.99996667,25,36.66663333,25,36.66663333
"Gambia, The",GMB,46,67.77777778,55,64.44444444,,67.77777778,63,70,0,66.66666667,,65.55556667,,64.44443333,25,63.33333333
Georgia,GEO,100,95.55555556,100,95.55555556,100,94.44444444,100,92.22222222,100,82.22222222,91,88.8889,80,88.8889,83,86.6667
Germany,DEU,78,,75,,80,,,,100,,,,,,100,
Ghana,GHA,48,65.55555556,32,62.22222222,50,58.88888889,51,62.22222222,51,62.22222222,,65.55556667,52,68.8889,52,68.8889
Greece,GRC,92,,,,,,,,,,,,,,,
Grenada,GRD,,43.33333333,42,44.44444444,0,47.77777778,16,51.11111111,,44.44444444,33,51.11113333,33,51.11113333,,53.33333333
Guatemala,GTM,,85.55555556,30,85.55555556,20,82.22222222,100,76.66666667,45,68.88888889,80,72.22223333,35,71.1111,,78.8889
Guinea,GIN,,57.77777778,0,58.88888889,,57.77777778,,52.22222222,63,52.22222222,63,53.33333333,,55.55556667,83,52.22223333
Guinea-Bissau,GNB,,45.55555556,,48.88888889,,51.11111111,,50,35,43.33333333,43,44.44443333,60,42.2222,43,47.77776667
Guyana,GUY,19,53.33333333,87,58.88888889,90,55.55555556,90,58.88888889,100,58.88888889,100,56.6667,,57.7778,100,55.55553333
